GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,STATEICP,COUNTYICP,AJ3001,AKC001
"G010","1870","Alabama","010",,"Alabama","41","0",996992,996992
"G045","1870","Arizona Territory","045",,"Arizona Territory","61","0",9658,9658
"G050","1870","Arkansas","050",,"Arkansas","42","0",484471,484471
"G060","1870","California","060",,"California","71","0",560247,560247
"G085","1870","Colorado Territory","085",,"Colorado Territory","62","0",39864,39864
"G090","1870","Connecticut","090",,"Connecticut","1","0",537454,537454
"G095","1870","Dakota Territory","095",,"Dakota Territory","37","0",14181,14181
"G100","1870","Delaware","100",,"Delaware","11","0",125015,125015
"G110","1870","District Of Columbia","110",,"District of Columbia","98","0",131700,131700
"G120","1870","Florida","120",,"Florida","43","0",187748,187748
"G130","1870","Georgia","130",,"Georgia","44","0",1184109,1184109
"G165","1870","Idaho Territory","165",,"Idaho Territory","63","0",14999,14999
"G170","1870","Illinois","170",,"Illinois","21","0",2539891,2539891
"G180","1870","Indiana","180",,"Indiana","22","0",1680637,1680637
"G190","1870","Iowa","190",,"Iowa","31","0",1194020,1194020
"G200","1870","Kansas","200",,"Kansas","32","0",364399,364399
"G210","1870","Kentucky","210",,"Kentucky","51","0",1321011,1321011
"G220","1870","Louisiana","220",,"Louisianna","45","0",726915,726915
"G230","1870","Maine","230",,"Maine","2","0",626915,626915
"G240","1870","Maryland","240",,"Maryland","52","0",780894,780894
"G250","1870","Massachusetts","250",,"Massachusetts","3","0",1457351,1457351
"G260","1870","Michigan","260",,"Michigan","23","0",1184059,1184059
"G270","1870","Minnesota","270",,"Minnesota","33","0",439706,439706
"G280","1870","Mississippi","280",,"Mississippi","46","0",827922,827922
"G290","1870","Missouri","290",,"Missouri","34","0",1721295,1721295
"G305","1870","Montana Territory","305",,"Montana Territory","64","0",20595,20595
"G310","1870","Nebraska","310",,"Nebraska","35","0",122993,122993
"G320","1870","Nevada","320",,"Nevada","65","0",42491,42491
"G330","1870","New Hampshire","330",,"New Hampshire","4","0",318300,318300
"G340","1870","New Jersey","340",,"New Jersey","12","0",906096,906096
"G355","1870","New Mexico Territory","355",,"New Mexico Territory","66","0",91874,91874
"G360","1870","New York","360",,"New York","13","0",4382759,4382759
"G370","1870","North Carolina","370",,"North Carolina","47","0",1071361,1071361
"G390","1870","Ohio","390",,"Ohio","24","0",2665260,2665260
"G410","1870","Oregon","410",,"Oregon","72","0",90923,90923
"G420","1870","Pennsylvania","420",,"Pennsylvania","14","0",3521951,3521951
"G440","1870","Rhode Island","440",,"Rhode Island","5","0",217353,217353
"G450","1870","South Carolina","450",,"South Carolina","48","0",705606,705606
"G470","1870","Tennessee","470",,"Tennessee","54","0",1258520,1258520
"G480","1870","Texas","480",,"Texas","49","0",818579,818579
"G495","1870","Utah Territory","495",,"Utah Territory","67","0",86786,86786
"G500","1870","Vermont","500",,"Vermont","6","0",330551,330551
"G510","1870","Virginia","510",,"Virginia","40","0",1225163,1225163
"G535","1870","Washington Territory","535",,"Washington Territory","73","0",23955,23955
"G540","1870","West Virginia","540",,"West Virginia","56","0",442014,442014
"G550","1870","Wisconsin","550",,"Wisconsin","25","0",1054670,1054670
"G565","1870","Wyoming Territory","565",,"Wyoming Territory","68","0",9118,9118
